metric,original_stage3,remediated_stage3r,absolute_difference
ROC-AUC,0.7701116071428572,0.7629538690476191,0.00715773809523812
Average Precision,0.5806035498332981,0.5710270816616344,0.009576468171663688
Precision for bad credit risk,0.5760869565217391,0.5752688172043011,0.0008181393174380158
Recall for bad credit risk,0.4416666666666666,0.44583333333333336,0.004166666666666763
F1 for bad credit risk,0.5,0.5023474178403756,0.0023474178403756207
Balanced accuracy,0.6511904761904762,0.6523809523809524,0.0011904761904761862
Brier score,0.1730005802190112,0.17621734856446597,0.003216768345454757
Accuracy,0.735,0.735,0.0
False positives,78.0,79.0,1.0
False negatives,134.0,133.0,1.0
True positives,106.0,107.0,1.0
True negatives,482.0,481.0,1.0
Total 5:1 cost,748.0,744.0,4.0
Average 5:1 cost,0.935,0.93,0.0050000000000000044
